setup.py:12:15: E262 inline comment should start with '# '
setup.py:12:80: E501 line too long (94 > 79 characters)
setup.py:36:80: E501 line too long (85 > 79 characters)
setup.py:46:80: E501 line too long (156 > 79 characters)
setup.py:47:80: E501 line too long (115 > 79 characters)
setup.py:55:80: E501 line too long (94 > 79 characters)
setup.py:62:80: E501 line too long (85 > 79 characters)
setup.py:68:80: E501 line too long (87 > 79 characters)
setup.py:77:80: E501 line too long (99 > 79 characters)
setup.py:79:80: E501 line too long (88 > 79 characters)
setup.py:84:22: E127 continuation line over-indented for visual indent
setup.py:88:22: E127 continuation line over-indented for visual indent
setup.py:93:80: E501 line too long (105 > 79 characters)
setup.py:95:80: E501 line too long (93 > 79 characters)
setup.py:135:80: E501 line too long (102 > 79 characters)
setup.py:138:80: E501 line too long (89 > 79 characters)
setup.py:140:80: E501 line too long (120 > 79 characters)
setup.py:141:80: E501 line too long (96 > 79 characters)
setup.py:142:80: E501 line too long (107 > 79 characters)
setup.py:145:80: E501 line too long (96 > 79 characters)
setup.py:146:80: E501 line too long (113 > 79 characters)
setup.py:147:80: E501 line too long (114 > 79 characters)
setup.py:148:80: E501 line too long (109 > 79 characters)
setup.py:149:80: E501 line too long (111 > 79 characters)
setup.py:150:80: E501 line too long (111 > 79 characters)
setup.py:152:80: E501 line too long (106 > 79 characters)
setup.py:153:80: E501 line too long (120 > 79 characters)
setup.py:155:80: E501 line too long (121 > 79 characters)
setup.py:157:80: E501 line too long (87 > 79 characters)
setup.py:159:80: E501 line too long (143 > 79 characters)
setup.py:161:80: E501 line too long (138 > 79 characters)
setup.py:180:80: E501 line too long (82 > 79 characters)
setup.py:181:80: E501 line too long (82 > 79 characters)
setup.py:184:80: E501 line too long (99 > 79 characters)
setup.py:186:80: E501 line too long (90 > 79 characters)
setup.py:187:80: E501 line too long (158 > 79 characters)
setup.py:191:80: E501 line too long (161 > 79 characters)
setup.py:192:80: E501 line too long (110 > 79 characters)
setup.py:195:80: E501 line too long (113 > 79 characters)
setup.py:215:80: E501 line too long (83 > 79 characters)
setup.py:218:80: E501 line too long (92 > 79 characters)
setup.py:219:80: E501 line too long (109 > 79 characters)
setup.py:224:80: E501 line too long (108 > 79 characters)
setup.py:229:80: E501 line too long (99 > 79 characters)
setup.py:245:80: E501 line too long (83 > 79 characters)
setup.py:260:80: E501 line too long (116 > 79 characters)
setup.py:261:80: E501 line too long (101 > 79 characters)
setup.py:265:80: E501 line too long (90 > 79 characters)
setup.py:280:80: E501 line too long (146 > 79 characters)
setup.py:281:80: E501 line too long (114 > 79 characters)
setup.py:282:80: E501 line too long (100 > 79 characters)
setup.py:287:80: E501 line too long (98 > 79 characters)
setup.py:291:80: E501 line too long (80 > 79 characters)
setup.py:302:80: E501 line too long (111 > 79 characters)
setup.py:313:80: E501 line too long (87 > 79 characters)
setup.py:314:80: E501 line too long (81 > 79 characters)
setup.py:318:80: E501 line too long (95 > 79 characters)
setup.py:334:80: E501 line too long (83 > 79 characters)
setup.py:336:80: E501 line too long (86 > 79 characters)
setup.py:342:80: E501 line too long (92 > 79 characters)
setup.py:344:80: E501 line too long (84 > 79 characters)
setup.py:345:80: E501 line too long (93 > 79 characters)
setup.py:347:80: E501 line too long (82 > 79 characters)
setup.py:349:80: E501 line too long (95 > 79 characters)
setup.py:351:80: E501 line too long (85 > 79 characters)
setup.py:360:80: E501 line too long (84 > 79 characters)
setup.py:370:80: E501 line too long (100 > 79 characters)
setup.py:372:80: E501 line too long (115 > 79 characters)
setup.py:377:80: E501 line too long (98 > 79 characters)
setup.py:389:80: E501 line too long (83 > 79 characters)
setup.py:395:80: E501 line too long (86 > 79 characters)
setup.py:397:80: E501 line too long (80 > 79 characters)
setup.py:406:80: E501 line too long (83 > 79 characters)
setup.py:425:80: E501 line too long (100 > 79 characters)
setup.py:426:80: E501 line too long (111 > 79 characters)
setup.py:427:80: E501 line too long (128 > 79 characters)
setup.py:435:80: E501 line too long (91 > 79 characters)
setup.py:438:80: E501 line too long (105 > 79 characters)
setup.py:442:80: E501 line too long (96 > 79 characters)
setup.py:443:80: E501 line too long (84 > 79 characters)
setup.py:448:80: E501 line too long (96 > 79 characters)
setup.py:452:80: E501 line too long (89 > 79 characters)
setup.py:457:80: E501 line too long (84 > 79 characters)
setup.py:458:80: E501 line too long (88 > 79 characters)
setup.py:473:80: E501 line too long (114 > 79 characters)
setup.py:487:80: E501 line too long (115 > 79 characters)
setup.py:489:80: E501 line too long (112 > 79 characters)
setup.py:491:80: E501 line too long (91 > 79 characters)
setup.py:499:80: E501 line too long (100 > 79 characters)
setup.py:501:80: E501 line too long (133 > 79 characters)
setup.py:503:80: E501 line too long (112 > 79 characters)
setup.py:506:80: E501 line too long (86 > 79 characters)
setup.py:508:80: E501 line too long (107 > 79 characters)
setup.py:511:80: E501 line too long (100 > 79 characters)
setup.py:515:80: E501 line too long (113 > 79 characters)
setup.py:517:95: E261 at least two spaces before inline comment
setup.py:518:80: E501 line too long (85 > 79 characters)
setup.py:521:152: E261 at least two spaces before inline comment
setup.py:522:132: E261 at least two spaces before inline comment
setup.py:523:80: E501 line too long (107 > 79 characters)
setup.py:524:138: E261 at least two spaces before inline comment
setup.py:525:80: E501 line too long (124 > 79 characters)
setup.py:526:134: E261 at least two spaces before inline comment
setup.py:527:80: E501 line too long (90 > 79 characters)
setup.py:528:80: E501 line too long (119 > 79 characters)
setup.py:531:80: E501 line too long (103 > 79 characters)
setup.py:532:80: E501 line too long (115 > 79 characters)
setup.py:533:80: E501 line too long (81 > 79 characters)
setup.py:535:80: E501 line too long (110 > 79 characters)
setup.py:536:80: E501 line too long (89 > 79 characters)
setup.py:537:80: E501 line too long (83 > 79 characters)
setup.py:542:80: E501 line too long (84 > 79 characters)
setup.py:544:88: E261 at least two spaces before inline comment
setup.py:545:80: E501 line too long (89 > 79 characters)
setup.py:548:109: E261 at least two spaces before inline comment
setup.py:549:108: E261 at least two spaces before inline comment
setup.py:550:80: E501 line too long (106 > 79 characters)
setup.py:553:101: E261 at least two spaces before inline comment
setup.py:554:93: E261 at least two spaces before inline comment
setup.py:555:80: E501 line too long (86 > 79 characters)
setup.py:557:80: E501 line too long (92 > 79 characters)
setup.py:559:116: E261 at least two spaces before inline comment
setup.py:560:80: E501 line too long (113 > 79 characters)
setup.py:563:80: E501 line too long (111 > 79 characters)
setup.py:566:80: E501 line too long (104 > 79 characters)
setup.py:567:80: E501 line too long (83 > 79 characters)
setup.py:568:80: E501 line too long (84 > 79 characters)
setup.py:570:80: E501 line too long (119 > 79 characters)
setup.py:572:80: E501 line too long (100 > 79 characters)
setup.py:574:80: E501 line too long (83 > 79 characters)
setup.py:578:80: E501 line too long (109 > 79 characters)
setup.py:587:80: E501 line too long (131 > 79 characters)
setup.py:593:80: E501 line too long (119 > 79 characters)
setup.py:595:80: E501 line too long (92 > 79 characters)
setup.py:596:80: E501 line too long (83 > 79 characters)
setup.py:597:80: E501 line too long (86 > 79 characters)
setup.py:599:80: E501 line too long (124 > 79 characters)
setup.py:601:80: E501 line too long (94 > 79 characters)
setup.py:602:80: E501 line too long (106 > 79 characters)
setup.py:606:80: E501 line too long (89 > 79 characters)
setup.py:610:1: E305 expected 2 blank lines after class or function definition, found 1
